Shape Parameter MLE,Scale Parameter MLE,Concentration (uM)
2.4214412867981423,137.03407114995525,7
2.582512258681167,121.67919418257807,7
2.5974217216847957,130.89206959165205,7
2.3920511866128877,140.07409608528434,7
2.397591713740109,135.97559395495978,7
2.479436725170924,130.66156135249432,7
2.5007493465387896,130.6469874548746,7
2.81802942350267,114.63904564638834,7
2.2009427432824054,147.53302254637103,7
2.4351917737569564,129.2183578407529,7
2.534437049559298,131.71015081708612,7
2.4198831564549828,128.95539336119188,7
2.5744953429752657,127.09272113889507,7
2.62784891500277,125.54025105997354,7
2.371099009749211,136.4851624567514,7
2.4310462748418558,135.3739005903135,7
2.3561238481315048,139.90477052011394,7
2.4942069623128345,123.2712184249344,7
2.299518493434754,137.9983691184305,7
2.5351112751286133,128.14918251042215,7
2.3671152417606165,137.62704500935277,7
2.5227168489611516,125.33802586825867,7
2.591677547977908,124.7613660691711,7
2.601360046977914,127.62102766859729,7
2.3449412047542793,129.8178534793494,7
2.3924632860174935,135.1668407899901,7
2.4233335872481265,131.72763696031862,7
2.4591858879028354,129.3110604990919,7
2.5540293062051878,124.20921131224512,7
2.2621148480641056,146.73809932658938,7
2.1639433546323787,150.582801645294,7
2.4090529465880595,127.16492084967952,7
2.310119311452452,142.0399551155272,7
2.5157489729362004,126.7935030048932,7
2.265925220348614,137.11692432254276,7
2.3493107577184804,136.00488014453586,7
2.4649643570105213,133.59949098630133,7
2.2405483921584293,136.0765236709922,7
2.5445145540061125,127.72974614085206,7
2.611339530426189,130.51256376811847,7
2.7053091531951683,118.13560101633459,7
2.382577499811339,136.00893272362305,7
2.48786308922336,124.26054199562826,7
2.37656959356868,135.33332592751816,7
2.5051848128254863,129.59183513710775,7
2.2385483871630902,142.48390459233707,7
2.26031578486097,144.10460607871562,7
2.475097734597932,124.19628195934828,7
2.6340015072825493,120.50137495077094,7
2.4772054567997537,140.9774159935374,7
2.6030418339842774,119.94927365866181,7
2.217925494605912,149.17500949362173,7
2.5509275478439433,125.34858061375678,7
2.4447100965383295,131.2587619087886,7
2.515270521865992,128.62614291254627,7
2.488194539687175,129.5943454429828,7
2.1720184538324596,149.268664709155,7
2.6988660960737403,117.15786507656439,7
2.4806679055145335,129.0235842582764,7
2.432771873288214,128.1063638163891,7
2.4469502893817903,132.59037337636303,7
2.310604300315258,133.25204117775138,7
2.3648225662757874,132.75242370486322,7
2.3923212237420666,132.16639403649515,7
2.3750947575106385,128.7885604099857,7
2.499332349530014,129.31113725058282,7
2.485640904516793,136.3615267756872,7
2.5547885243968103,126.52705913954406,7
2.355691417692224,143.13260065450726,7
2.532249423018211,124.28569738716797,7
2.213018583278108,142.14804493510408,7
2.2966919084012085,134.62877479322378,7
2.08239421766277,152.216822745763,7
2.4702074773740508,128.39512278958136,7
2.513478222133781,127.33095721049712,7
2.3330099200177994,139.05024468276963,7
2.488004503066763,131.12682974864862,7
2.492834015906918,130.88106176132976,7
2.578873224605721,128.66283745187567,7
2.761283427427763,117.19878821196862,7
2.874070893702949,117.55021589691879,7
2.4637256584900338,128.5035145835638,7
2.4250028490959705,128.26712495151534,7
2.5625099090998824,122.86945177342696,7
2.2259493181806707,142.49197184706287,7
2.466735663818313,129.4578480960317,7
2.337500622530137,133.06839955559366,7
2.439760578233142,123.02066245247602,7
2.3793112295082315,135.0918030295953,7
2.4163378505218747,134.11038146504416,7
2.435683629834699,133.9422736783114,7
2.2767457448397725,139.81837854065398,7
2.470686506641084,126.20196868008334,7
2.2643416009738733,142.05033336460815,7
2.6160353169258777,122.57504859609637,7
2.435905235817607,128.53822718494294,7
2.3890056263032515,133.3368726822254,7
2.410032132025254,140.47449546565363,7
2.5410220331450613,127.57353768296355,7
2.2154310353967,146.5061477803112,7
2.3820687312182307,136.53236781990665,7
2.5841468813019337,132.80794334677853,7
2.811184983306043,116.12356859950198,7
2.290014805287313,142.6858890985464,7
2.2181991383355153,150.76937203920295,7
2.398784777084869,135.41683769916716,7
2.397326502317072,131.595466724235,7
2.4052683138646502,132.90896309175983,7
2.5190620915105644,130.84549506155105,7
2.5597074414162897,129.25218637884353,7
2.54017348856343,124.5033350662293,7
2.5874689310728742,124.97108288066202,7
2.4564109400200107,133.74470409610518,7
2.3406210598456423,140.5131132435269,7
2.249757977789657,139.54642666153046,7
2.726130747886614,117.50502437228755,7
2.5574965073877665,125.98498826140587,7
2.5836599766507256,122.08804913410647,7
2.5505501794078675,125.14549032686027,7
2.4532543717106554,133.25330047631775,7
2.3256809534262226,137.30261135522625,7
2.360327140375114,134.4874462871765,7
2.6495214127100972,126.71754700385996,7
2.4479643464832246,134.90909225118187,7
2.652082541905834,117.80011980141019,7
2.7030463965236105,119.38072978835216,7
2.4704008164757085,138.90438469958184,7
2.538440069895175,129.90683497153657,7
2.57634691871729,129.02638770702865,7
2.487656289063492,129.85119405207226,7
2.425872709815077,127.6697182930471,7
2.6521073362020555,121.6040397702344,7
2.4158838201536716,131.15738673394074,7
2.473101962048299,126.78947810976678,7
2.493599869162552,126.90666208106732,7
2.3790146448374316,136.66896091143536,7
2.4145151793388906,133.69718859608764,7
2.3140659222331004,140.4841902792233,7
2.3531612235523665,143.44405368201282,7
2.3113109988939655,141.22241514699178,7
2.518458761461863,127.5219239654604,7
2.4920195976854647,133.60876535956004,7
2.4273878426248854,132.92226543359556,7
2.5896109786589734,122.30689190318567,7
2.5376712009458418,127.15149180879492,7
2.419985053576909,132.4234407278807,7
2.629674349812303,126.22200631700345,7
2.573312094138005,126.07882302337117,7
2.2690063318423697,145.61869713852062,7
2.465563063681708,130.07005701166796,7
2.4270278280974527,128.5290869349923,7
2.5821761225318367,123.7934565365714,7
2.172799296925422,149.47069378772335,7
2.348531452913548,136.42302029159717,7
2.610783772818268,121.96900957108224,7
2.5783317559333487,122.50783105557223,7
2.44627686336999,130.14995125588922,7
2.2414502823096187,145.16261723341728,7
2.556373150178113,122.19393183602065,7
2.4879956619308063,128.60851155151553,7
2.2252151038714754,146.95637077447043,7
2.4664630350129655,126.1819377204473,7
2.3243221239460685,140.66633156734036,7
2.517121842199059,125.18231751080285,7
2.3046046821605013,141.77007852471826,7
2.50033867961884,127.10627506959169,7
2.3354892872415554,138.4841729854052,7
2.4597465371837917,128.7065508120045,7
2.3674196062230135,135.9658882861197,7
2.6712402484482674,118.98746831920408,7
2.8301090417443344,114.22773045554234,7
2.4102124243092544,126.21758966714735,7
2.7311281341169074,115.40514693170871,7
2.467885857069709,136.566672102899,7
2.380001705572939,135.26210251628746,7
2.3723296096846402,130.64401542541836,7
2.346129484558301,139.17754673799666,7
2.387832735304583,130.42839252780948,7
2.598315290888746,117.68477582842243,7
2.4011544843985004,136.071992441084,7
2.5172464413841134,130.28128154330432,7
2.4873951582063247,132.05704100006363,7
2.6472767818184924,122.10257860816542,7
2.4117381159816826,130.71524301031639,7
2.459544592838094,142.7118760681176,7
2.4064302351657347,131.8269254813668,7
2.611231500130278,125.4834772221196,7
2.319802990850297,139.04309709334646,7
2.3945316927507725,137.9560092599632,7
2.3634861928341726,143.07700562415368,7
2.236158877789299,146.81393700201116,7
2.4283615874970503,131.9547167887991,7
2.6155453748812456,127.17507970304472,7
2.494928068996917,131.55662833955978,7
2.479677254475585,125.08877185875178,7
2.487760326493514,123.7248689298755,7
2.3764243047598606,132.4989787074518,7
2.7082922357021526,115.06014963369779,7
2.533136650294203,132.11694869499908,7
2.5056464400147562,127.62731301282888,7
2.397015247914645,130.31152225278458,7
2.479800116548028,135.15120785339036,7
2.5337447177650745,132.77862668561988,7
2.43991532681029,129.3703852566083,7
2.2734983268001843,141.12399634508185,7
2.3461204245320566,134.66099049730062,7
2.458727716163199,126.85806470529835,7
