Beta_1 Parameter MLE,Beta_2 Parameter MLE,Concentration (uM)
0.006056714791934597,0.006100346437434214,7
0.005942414412729254,0.005942415837069819,7
0.004918201795560256,0.008719691415595093,7
0.004426163774085211,0.010260578894203426,7
0.005866539550354411,0.005866591737868546,7
0.004404038297181394,0.009685978182730596,7
0.006365763609162237,0.006365763838142863,7
0.005953961794469527,0.00646702361357909,7
0.004893481608307139,0.009338621626916788,7
0.004951678366552153,0.007829998044880045,7
0.0060322360059139575,0.006235874906555617,7
0.004534001190182594,0.010693488129703386,7
0.005370350921878621,0.007362506606187926,7
0.006275106839793878,0.006718617524606192,7
0.0045234283074698034,0.009858778551153254,7
0.004700271669384403,0.010049062072527783,7
0.0059094200262036645,0.005909422103221657,7
0.006140411452949071,0.0061404125162835485,7
0.00615290433927457,0.006578327843573348,7
0.004770373430897788,0.00976619386562039,7
0.005198512986138807,0.0074841817223216785,7
0.006509676233624297,0.00650967677986599,7
0.0059200929117162035,0.005920093715209905,7
0.006027317697403077,0.0060273178258291645,7
0.006265026639899642,0.006265026938750811,7
0.006314927825887568,0.006314928288345666,7
0.004374521236309603,0.008987305195883023,7
0.005962017174403264,0.005962362775173909,7
0.005603104288116593,0.007286731094693882,7
0.006051544832433363,0.006051545345907206,7
0.00633953763037795,0.0063395380071140425,7
0.006039646396151883,0.006051404623609041,7
0.006191234136353064,0.006191239027749271,7
0.0045434631671340715,0.010020677116495496,7
0.006113414146334662,0.006138608743424172,7
0.0061759358254529,0.006175937882986369,7
0.006205986026430343,0.006205986631106302,7
0.004640238220808185,0.009132570423039343,7
0.005868544849967967,0.00596265658012238,7
0.006370607137921629,0.006370607830737219,7
0.006485503969177314,0.006485505782289362,7
0.006283817223989449,0.006283817256565732,7
0.0060879300809348405,0.006263178616761924,7
0.00458669729933928,0.008819390851600176,7
0.00413785293784193,0.009152235741713947,7
0.006119665922691414,0.006670068814471556,7
0.0061969078250344615,0.006196909691558824,7
0.006319119458498377,0.006319122953650406,7
0.0061231402350108285,0.006134712589641574,7
0.0046490883776549976,0.0076013902405566314,7
0.0043457126963547645,0.009922688396353033,7
0.006459321175714745,0.006459322698119223,7
0.0044934268890784055,0.009460495799978774,7
0.006056193425183522,0.006056193501146197,7
0.006065712508422714,0.006196407714224655,7
0.0061772482209592324,0.006177248678790209,7
0.005451591571477268,0.0077616686778749725,7
0.005274051750082682,0.007815032659030174,7
0.00440299541827573,0.00940281070297937,7
0.004711253494500011,0.00855794453197805,7
0.005931247810538471,0.006296241178498879,7
0.004464162668596046,0.008997759650683057,7
0.006517694292746772,0.006517694924964366,7
0.006447266003116622,0.006471801362811511,7
0.00594116005302375,0.006289364816684976,7
0.006682513452635879,0.0066825161580947225,7
0.0062789144558538425,0.0062789148114379915,7
0.006399293090000921,0.006399293206801406,7
0.006438889995613364,0.006438923607900953,7
0.006277251802293335,0.0063698860630670455,7
0.004662257593902058,0.010293658717114315,7
0.004557858002905844,0.008999742652091712,7
0.004401410155001789,0.008859023060474206,7
0.004428174494038982,0.008907109943374628,7
0.00522663661560136,0.0076482369556416345,7
0.006009469456305215,0.006046084542627075,7
0.0063283866419844475,0.006328386946726304,7
0.004371715535792969,0.009172119239935526,7
0.004658366699905527,0.008874186962453786,7
0.004241993827965532,0.010164527185231751,7
0.006142440919006904,0.006340700603552682,7
0.00455763910376491,0.008278673964157893,7
0.004340039466235518,0.009004917615071675,7
0.006279277693379622,0.006279277754584431,7
0.0061860265891267715,0.006186026609401231,7
0.0052254972445024295,0.007846330221386442,7
0.005313795650645455,0.007548595101742347,7
0.005891281281948764,0.005891283586466575,7
0.005280836583998296,0.007278013212433732,7
0.005462791112630483,0.007522995437072988,7
0.005214416404062246,0.008108935855416558,7
0.004548587451843793,0.009526886111538846,7
0.00601704212319952,0.006417015320668737,7
0.006019557360198521,0.006019557468651735,7
0.006147894530763358,0.00614789522684166,7
0.0059619027970061154,0.006255172640341829,7
0.0056912191052746345,0.0059058291462672175,7
0.00610854298731036,0.006108543322594633,7
0.0051573270954183344,0.007961042902699167,7
0.004675501066267562,0.00840732074458123,7
0.0043572030656029385,0.010332401166245111,7
0.0061727186497344076,0.006172719240813876,7
0.006179993404383975,0.0061799939945890465,7
0.005500639508593523,0.007028864749671136,7
0.0064617505501996025,0.006461751711858965,7
0.005744767618820182,0.006249843883838891,7
0.006339412033741928,0.006409161597213242,7
0.005088875547576802,0.008190804891649783,7
0.005897000417072986,0.006640626476578581,7
0.005443787978012945,0.007630581687261623,7
0.00457483390159519,0.009466418444086907,7
0.006117161777220094,0.006117162005620127,7
0.006035210017630282,0.006067533876310383,7
0.005205677246210143,0.008097193897712313,7
0.0063534670467458535,0.006361080618900107,7
0.006019329436007481,0.006222170626440618,7
0.0059541890186647906,0.005954190884043285,7
0.006236737768665818,0.0062367378872969755,7
0.006370481787498352,0.006370482945269545,7
0.0053823771545473825,0.007465838623026775,7
0.006444832489490606,0.006444832847312218,7
0.004548650182793707,0.008721827537848378,7
0.004429679368599174,0.010190569864364299,7
0.004583084789132335,0.007824232389583276,7
0.006241509317748278,0.006241514039385004,7
0.006175207909101879,0.006579812435885418,7
0.006364276746723335,0.006364279019034766,7
0.004553101679167031,0.009281382348935628,7
0.006238416164855351,0.00623841622385075,7
0.00435362745600584,0.008868006940999554,7
0.00629928734557801,0.0062992875735767674,7
0.005882837320983626,0.0062279466165166796,7
0.004432775039113964,0.009016887222447836,7
0.0052239844097037216,0.007333833173971143,7
0.006352531408086382,0.006352534197441708,7
0.004435148934385054,0.009258620993699368,7
0.005093150531230443,0.007333673762063696,7
0.00565277532129829,0.0067366418381012375,7
0.006022604823161427,0.006064903262903933,7
0.006216106288587731,0.006216106842184413,7
0.004351332413166355,0.010453236101543379,7
0.006216379415377824,0.006300157591281253,7
0.004556553678856001,0.009409844600460883,7
0.006304525146272054,0.006304526451650324,7
0.005036701006478952,0.007735609261717189,7
0.006036890223079228,0.006226439458379022,7
0.006074223101528562,0.0060742282840968815,7
0.006504287976559995,0.006542123666888824,7
0.004728430879693935,0.009439752307573046,7
0.006124235855218726,0.00612424459885252,7
0.006651535335879243,0.006852687158216004,7
0.006230705214167336,0.0065106344157396705,7
0.004366495837458143,0.009434727738308665,7
0.006250040401719757,0.0062500431257299215,7
0.0062780305904557325,0.006278031770767787,7
0.004389427426172487,0.00886521958346544,7
0.0055545202856142895,0.006555138860439845,7
0.005912583029809874,0.006095847004296456,7
0.006362338539444775,0.0063623396892088305,7
0.00598950788539083,0.005989509578478586,7
0.004504267688227122,0.00931946868562985,7
0.0042850350283246755,0.009939220379885379,7
0.0059940069144784275,0.005994007743642366,7
0.005364571247504817,0.007375073411048509,7
0.006075844424100199,0.00607848684530615,7
0.004693959344439382,0.009101508842995248,7
0.00428786500959167,0.009353826198848048,7
0.0044750980824052825,0.010354486075882779,7
0.006210354108431368,0.006210355377426119,7
0.006364120351399772,0.006364120613129306,7
0.006349148010576854,0.006349148360032882,7
0.006303008348488843,0.006303009260513106,7
0.004782058727722746,0.00808509411564632,7
0.004464050950119887,0.009787167400799024,7
0.00460261636686365,0.008704112707880692,7
0.005904145059164189,0.0059978993278503884,7
0.006449292284620996,0.006449293510351324,7
0.006194798395496293,0.006194798657417272,7
0.004274811225356609,0.009942375836628221,7
0.004697428247245266,0.009100634827455616,7
0.006211435645149393,0.0063459910049214144,7
0.004733135372497872,0.009335344725882669,7
0.006133133181916318,0.006133135284089005,7
0.00507216014893993,0.008273710895173574,7
0.0063150658148146644,0.0063274320814512616,7
0.004523130507607937,0.009277574496189515,7
0.006320420300503103,0.006320683539761261,7
0.004511608640700347,0.009252321778974563,7
0.006303165746419319,0.00630434983167045,7
0.005213287146835594,0.007105451934855484,7
0.006106518427936898,0.006106520775406077,7
0.006132280173632421,0.0061322806621576745,7
0.005994503337734528,0.005994503912348051,7
0.0053015663260021365,0.007523143058677465,7
0.004277270860733271,0.009237481914770144,7
0.005940208484883601,0.006484274485318894,7
0.0061483339841157825,0.006148333986386953,7
0.005117892080388333,0.00787852220714913,7
0.005725224807805487,0.006803907798668628,7
0.006043284060712714,0.006043286649604342,7
0.0064268824648365,0.006426882959043779,7
0.005278782955600352,0.007628936036376402,7
0.004774547018280354,0.00902371400361535,7
0.0060739482680332605,0.0062202681717370145,7
0.006224017629516209,0.006224017676852915,7
0.00505660359856631,0.007717071730975979,7
0.0063034588704791675,0.0063034590429434266,7
0.00647754514639553,0.006477546769922073,7
0.004609622802087382,0.010033435259141204,7
0.0046756838588598824,0.00910414365411031,7
0.0064287186938477405,0.0064306564325803724,7
0.00458624775587634,0.009359152800311315,7
0.006275350553402658,0.006275351098638757,7
0.005960122274492976,0.006523774720792025,7
0.004661342525192941,0.00932154155420913,7
0.005979521820537113,0.005979522592848927,7
0.0065529626578503,0.006552963717973291,7
0.006172710373076061,0.006181045758380648,7
0.00629010128629262,0.006290102268724553,7
0.006070031702537755,0.006070340866836202,7
0.00599039615492526,0.006237069797628896,7
0.006477928870535665,0.006477929230790434,7
0.005098362524924815,0.007947814866915086,7
0.0052054390836854345,0.007909041772724976,7
0.006348346315216549,0.006348347138632894,7
0.004708172217105665,0.009510198475392629,7
0.006726029530390504,0.0067260309819245565,7
0.004672554844275209,0.009058190581917721,7
0.005231992846343649,0.007218971814508251,7
0.006311919958570421,0.006722203705497394,7
0.00632371643962816,0.006635980132161825,7
0.005446623515010623,0.0065242340101915805,7
0.004930535968561072,0.009109575249907804,7
0.005961586011296332,0.006097528145410231,7
0.005398924023691086,0.007755775378947663,7
0.006451422087654732,0.006451429702561035,7
0.006007524074635132,0.006027474772172653,7
0.006484551478777557,0.006495886733320215,7
0.005731084411289124,0.006368303834088538,7
0.006310368705509553,0.006328116763246361,7
0.005242170108131742,0.007675259874223158,7
0.006003042994603247,0.006556596264632587,7
0.004708650248150542,0.009722645325040049,7
0.004960794011226422,0.008061416877831688,7
0.004673134457614781,0.008986053788989368,7
0.005797693005966359,0.006237415163938459,7
0.004610118155015714,0.008719674958220543,7
0.005896825275933633,0.005896826809083007,7
0.006273735724837408,0.006273736491309302,7
0.005787005798759065,0.007001379702286327,7
0.0047810515173913005,0.008798523907992344,7
0.0067223020288489175,0.00672574588626396,7
0.00636535158154826,0.006365354181637612,7
0.006243322913430036,0.00624341747284237,7
0.006188328362856568,0.006351110098256737,7
0.00596658960595431,0.006728762132176943,7
0.006016594997828606,0.00601972078325253,7
0.005394939132415255,0.007242553495253275,7
0.005658441132744654,0.006758459502395363,7
0.006304559570566777,0.006304559915841573,7
0.006043390073318668,0.006043390079930602,7
0.006089898301177479,0.006284524513889121,7
0.005308393833265313,0.008100075673041022,7
0.005917874611972268,0.006291209405807684,7
0.006425632706698327,0.006425632746501942,7
0.00433650239735378,0.009836891566451653,7
0.0045383504091089785,0.00957657970352337,7
0.004705647632551368,0.010482932877541562,7
0.006316085281529638,0.006316088770681157,7
0.006197297761514592,0.006197303180885726,7
0.004283685316407383,0.009962639145876521,7
0.0063011173031826545,0.0063011181099291245,7
0.006274794525451749,0.006274798481357218,7
0.004551359830473157,0.009023380544560321,7
0.005288484054693679,0.007547899059826871,7
0.0045538215954650475,0.008817108742585626,7
0.004584800622936351,0.008655842134506268,7
